SEX,AGE,MARST,RACE,BPL,HIGRADE,CLASSWKRD,OCCSCORE
1,45,1,1,6,19,22,48
1,16,6,1,6,13,28,14
2,21,6,1,4,15,22,18
2,36,1,1,33,19,22,41
1,71,1,1,48,17,22,25
1,43,1,1,5,19,28,35
2,29,6,1,48,15,28,14
1,32,1,1,8,13,13,41
1,48,1,1,6,15,22,24
2,48,1,1,36,17,13,41
1,29,1,1,200,16,22,9
1,59,1,1,27,15,22,37
2,31,1,1,6,19,25,49
2,40,1,2,42,10,22,22
1,50,1,2,5,11,22,23
2,18,6,1,6,13,22,18
1,35,1,1,48,17,28,29
2,55,1,1,6,15,22,26
2,31,1,1,1,12,22,22
1,52,3,2,48,14,25,20
2,46,1,1,36,17,22,19
2,45,1,1,6,15,22,38
2,21,6,1,6,18,22,37
2,34,1,1,6,19,28,26
1,65,1,1,48,15,22,26
1,30,4,1,4,15,25,20
1,37,1,1,1,19,22,41
1,80,1,1,31,17,22,38
2,49,4,1,31,17,14,31
1,54,1,1,410,12,22,43
1,35,6,1,48,15,22,38
1,32,6,1,6,17,22,20
1,65,1,1,1,7,22,41
1,34,5,1,6,18,25,11
1,24,4,1,34,15,22,20
1,30,1,2,1,12,22,23
2,19,6,1,1,16,22,23
2,54,1,1,210,19,13,22
1,48,1,1,6,19,28,26
1,53,1,1,27,11,22,27
1,42,1,1,8,17,22,41
1,73,1,1,17,19,13,41
1,24,1,1,6,15,13,20
2,29,1,1,42,15,28,22
1,35,4,1,1,14,27,23
2,19,6,1,6,15,22,22
2,29,1,1,6,20,28,26
2,19,6,1,6,15,22,18
1,23,1,2,1,12,22,26
2,41,1,1,6,13,22,11
2,28,1,7,6,15,22,23
1,20,1,1,6,16,22,41
2,28,1,1,36,19,22,25
1,24,6,1,12,18,22,23
1,25,1,2,5,17,13,24
2,61,1,1,5,11,28,16
2,24,1,1,1,15,22,21
1,28,1,1,26,17,22,18
2,18,6,1,6,14,22,24
1,24,6,1,16,16,22,26
1,36,1,1,200,11,22,23
1,57,1,1,6,11,28,18
1,30,1,1,6,19,27,24
2,19,6,1,6,15,28,22
1,20,6,1,1,15,22,25
1,21,6,4,6,15,22,18
1,18,6,2,1,14,22,20
2,30,6,1,20,18,22,41
1,31,1,2,5,15,25,22
1,35,1,1,4,15,22,33
2,29,3,1,42,17,22,22
2,18,6,1,48,14,22,18
1,26,1,1,6,19,22,41
1,38,1,1,5,19,22,24
1,52,5,1,40,14,28,29
2,23,1,1,39,14,22,18
1,23,6,1,210,18,22,32
2,66,1,2,160,15,22,6
1,38,1,2,1,12,25,24
1,35,1,1,6,16,22,25
1,17,6,1,200,7,22,32
2,25,1,1,20,15,22,22
2,33,4,1,6,15,22,26
1,29,1,1,6,19,13,41
2,17,6,1,28,14,22,20
1,35,1,1,6,19,27,23
1,26,1,1,1,15,22,34
2,18,6,1,1,14,22,18
2,26,1,1,1,15,28,17
2,37,1,1,200,9,22,23
2,26,1,1,42,18,25,24
1,60,6,1,48,19,28,24
1,28,1,1,200,20,27,27
2,30,4,1,6,16,22,35
2,24,1,1,53,19,28,26
1,65,1,2,1,9,22,20
1,50,1,1,32,15,22,37
1,21,6,1,13,17,22,24
2,59,4,1,54,12,22,36
1,26,1,1,26,15,22,18
2,35,1,1,39,18,28,19
2,57,6,1,1,19,27,27
2,35,1,1,1,19,22,6
1,72,1,1,6,13,13,14
1,21,1,1,39,14,22,23
1,67,1,1,5,9,22,25
1,61,2,1,4,17,22,25
1,31,4,2,25,15,22,20
1,64,1,1,40,14,22,27
2,43,1,1,1,15,22,24
1,21,6,1,1,17,22,20
2,27,1,1,33,15,22,23
2,26,4,2,1,15,22,23
1,55,1,1,6,17,22,46
1,18,6,1,1,12,22,22
1,25,1,1,46,15,22,23
2,28,1,1,6,16,13,14
2,18,6,1,6,14,22,24
2,32,4,1,6,16,28,13
1,31,6,1,45,19,13,27
2,42,1,1,6,19,28,41
2,62,4,1,6,13,22,14
1,28,1,1,6,19,22,41
2,48,1,1,1,15,25,25
2,40,6,1,48,13,28,14
1,48,1,1,6,17,13,27
2,31,1,1,6,19,22,26
1,29,1,1,6,15,14,37
1,39,1,1,22,15,22,41
1,40,1,1,1,15,22,31
1,47,1,1,35,17,13,14
2,41,1,2,51,15,25,18
2,63,1,1,9,11,22,11
1,44,3,1,47,15,22,25
1,65,1,1,29,10,13,33
2,36,6,1,30,17,22,37
1,33,1,2,48,18,22,34
